icd_code,f1_score,train_count
Z951,0.8393891521853607,6274
I2510,0.7458709229701597,22606
I10,0.7230810957417955,43570
E785,0.7111516177332204,44038
Z955,0.6892609228256431,7759
J449,0.6275979557069846,10268
Z7901,0.6263736263736264,15321
Z794,0.6198895027624309,15275
E1122,0.6173590003377237,9205
Z86718,0.6124711316397229,7598
E039,0.5988872028325746,15252
I252,0.586924219910847,8577
E119,0.5865184155663655,13572
I4891,0.5728202630297126,12034
G4733,0.57005700570057,12658
Z8673,0.5655622958469435,7911
J45909,0.5647743813682679,10612
K219,0.5535977950585688,30801
I130,0.551981351981352,6516
D62,0.549686660698299,10130
N179,0.5374186550976139,19705
F329,0.5265288419835189,23228
Z87891,0.5146459598677635,36294
I129,0.49294245385450597,9432
F419,0.4893732970027248,19151
I110,0.47466216216216217,7435
N183,0.45724907063197023,6804
M109,0.4476439790575916,6219
Z66,0.429664508534432,10743
N400,0.4250132485426603,6816
E669,0.41830065359477125,12145
I5032,0.416141235813367,5635
F17210,0.40132171823370383,11619
J9601,0.3997944501541624,5896
N390,0.3818791946308725,9659
N189,0.37841726618705035,8565
I480,0.3747016706443914,6695
E871,0.3586019064911484,8643
Z7902,0.35098438560760353,10516
J189,0.34432643935159307,5790
G8929,0.3380726698262243,7535
E872,0.29964850615114236,8160
Y929,0.23475956077243468,11548
Y92230,0.12704174228675136,5653
D649,0.07844946931241348,12467
K5900,0.07069767441860465,7097
D696,0.06525573192239859,6438
Y92239,0.05108055009823183,5981
G4700,0.044358727097396335,6450
Z23,0.0,5714
