icd_code,optimal_threshold,val_f1_tuned,test_f1_default,test_f1_tuned,train_count
Z951,0.6000000238418579,0.8196721076965332,0.8130745658835546,0.8260393873085339,6274
I2510,0.6000000238418579,0.7451038360595703,0.7215533980582525,0.7512915129151292,22606
I10,0.6000000238418579,0.7149102687835693,0.7138887093646998,0.7173637515842839,43570
E785,0.550000011920929,0.7052099704742432,0.6977860442791144,0.7045261020501736,44038
Z955,0.550000011920929,0.6833060383796692,0.6674174174174174,0.6861614497528831,7759
J449,0.6000000238418579,0.6310200691223145,0.5957186544342508,0.6271929824561403,10268
E1122,0.550000011920929,0.6319104433059692,0.6143617021276596,0.6246851385390428,9205
Z7901,0.5,0.5959656238555908,0.6182660745317629,0.6182660745317629,15321
Z794,0.550000011920929,0.6300669312477112,0.6077922077922078,0.6176413819725922,15275
I252,0.6000000238418579,0.6226175427436829,0.5607599082869309,0.6010058675607711,8577
Z86718,0.550000011920929,0.5753291249275208,0.5842309349418354,0.5995316159250585,7598
E039,0.6000000238418579,0.5969263911247253,0.5840307622709794,0.5944036946481934,15252
G4733,0.6000000238418579,0.5679244995117188,0.5390605375533786,0.5694831321572269,12658
I4891,0.5,0.5400996804237366,0.5692582663092046,0.5692582663092046,12034
E119,0.5,0.5556287169456482,0.5685909373060211,0.5685909373060211,13572
D62,0.550000011920929,0.5378151535987854,0.5389766943477096,0.5513513513513514,10130
K219,0.550000011920929,0.5531998872756958,0.5427336215497173,0.5477186690575812,30801
Z8673,0.5,0.5641025900840759,0.5447698744769874,0.5447698744769874,7911
I130,0.550000011920929,0.5515587329864502,0.5413153456998314,0.541488857278331,6516
J45909,0.550000011920929,0.5532222986221313,0.5271966527196653,0.5387666786873422,10612
Z87891,0.5,0.5269892811775208,0.5296364756623536,0.5296364756623536,36294
N179,0.5,0.5240558981895447,0.5263696876600102,0.5263696876600102,19705
F329,0.5,0.5208870768547058,0.5145909327774882,0.5145909327774882,23228
F419,0.550000011920929,0.5063154101371765,0.4717245676896713,0.47383125349227045,19151
I129,0.550000011920929,0.4968898594379425,0.46875,0.4725925925925926,9432
N183,0.550000011920929,0.4622544050216675,0.4510288065843621,0.45390070921985815,6804
I110,0.5,0.446244478225708,0.45326596896427285,0.45326596896427285,7435
I480,0.44999998807907104,0.4334433376789093,0.4391237901171676,0.43187066974595845,6695
M109,0.550000011920929,0.47430339455604553,0.43406022845275183,0.430788330229671,6219
Z66,0.5,0.4267682731151581,0.429847862835064,0.429847862835064,10743
I5032,0.5,0.4349801242351532,0.41025641025641024,0.41025641025641024,5635
N400,0.6000000238418579,0.4168564975261688,0.40229885057471265,0.4069077172153265,6816
E669,0.550000011920929,0.4228723347187042,0.41268980477223427,0.4010315925209542,12145
N189,0.5,0.40653470158576965,0.3986297103706011,0.3986297103706011,8565
J9601,0.5,0.42882248759269714,0.398595258999122,0.398595258999122,5896
Z7902,0.44999998807907104,0.3985239863395691,0.3739927757710475,0.39630346013324735,10516
F17210,0.44999998807907104,0.37504997849464417,0.38927855711422843,0.38279051065540814,11619
N390,0.5,0.3916666805744171,0.3797387703090156,0.3797387703090156,9659
G8929,0.5,0.37516629695892334,0.35350877192982455,0.35350877192982455,7535
E871,0.5,0.376821905374527,0.350700682716493,0.350700682716493,8643
J189,0.5,0.3397027552127838,0.3437366395895682,0.3437366395895682,5790
E872,0.5,0.3240938186645508,0.31871657754010696,0.31871657754010696,8160
Y929,0.44999998807907104,0.3028988242149353,0.28677839851024206,0.3036547433903577,11548
D649,0.44999998807907104,0.26326435804367065,0.20926243567753003,0.2568407960199005,12467
K5900,0.4000000059604645,0.22234244644641876,0.14202049780380674,0.22092684348586417,7097
Y92230,0.44999998807907104,0.23182018101215363,0.18494897959183673,0.21717846016911438,5653
D696,0.44999998807907104,0.22381635010242462,0.16906267970097758,0.21695668271010737,6438
Y92239,0.4000000059604645,0.18495212495326996,0.13658536585365855,0.17893859405390386,5981
G4700,0.4000000059604645,0.16913853585720062,0.0975609756097561,0.17049808429118773,6450
Z23,0.4000000059604645,0.13338689506053925,0.023157894736842106,0.10979462875197472,5714
